symbol,2020-05-13.4. close,2020-05-12.4. close,2020-05-11.4. close,2020-05-08.4. close,2020-05-07.4. close,2020-05-06.4. close,2020-05-05.4. close,2020-05-04.4. close,2020-05-01.4. close,2020-04-30.4. close,2020-04-29.4. close,2020-04-28.4. close,2020-04-27.4. close,2020-04-24.4. close,2020-04-23.4. close,2020-04-22.4. close,2020-04-21.4. close,2020-04-20.4. close,2020-04-17.4. close,2020-04-16.4. close,2020-04-15.4. close,2020-04-14.4. close,2020-04-13.4. close,2020-04-09.4. close,2020-04-08.4. close,2020-04-07.4. close,2020-04-06.4. close,2020-04-03.4. close,2020-04-02.4. close,2020-04-01.4. close,2020-03-31.4. close,2020-03-30.4. close,2020-03-27.4. close,2020-03-26.4. close,2020-03-25.4. close,2020-03-24.4. close,2020-03-23.4. close,2020-03-20.4. close,2020-03-19.4. close,2020-03-18.4. close,2020-03-17.4. close,2020-03-16.4. close,2020-03-13.4. close,2020-03-12.4. close,2020-03-11.4. close,2020-03-10.4. close,2020-03-09.4. close,2020-03-06.4. close,2020-03-05.4. close,2020-03-04.4. close,2020-03-03.4. close,2020-03-02.4. close,2020-02-28.4. close,2020-02-27.4. close,2020-02-26.4. close,2020-02-25.4. close,2020-02-24.4. close,2020-02-21.4. close,2020-02-20.4. close,2020-02-19.4. close,2020-02-18.4. close,2020-02-14.4. close,2020-02-13.4. close,2020-02-12.4. close,2020-02-11.4. close,2020-02-10.4. close,2020-02-07.4. close,2020-02-06.4. close,2020-02-05.4. close,2020-02-04.4. close,2020-02-03.4. close,2020-01-31.4. close,2020-01-30.4. close,2020-01-29.4. close,2020-01-28.4. close,2020-01-27.4. close,2020-01-24.4. close,2020-01-23.4. close,2020-01-22.4. close,2020-01-21.4. close,2020-01-17.4. close,2020-01-16.4. close,2020-01-15.4. close,2020-01-14.4. close,2020-01-13.4. close,2020-01-10.4. close,2020-01-09.4. close,2020-01-08.4. close,2020-01-07.4. close,2020-01-06.4. close,2020-01-03.4. close,2020-01-02.4. close,2019-12-31.4. close,2019-12-30.4. close,2019-12-27.4. close,2019-12-26.4. close,2019-12-24.4. close,2019-12-23.4. close,2019-12-20.4. close,2019-12-19.4. close,2019-12-18.4. close,2019-12-17.4. close
CBRE,34.8400,37.2000,40.8200,41.6000,40.8900,38.1500,39.5900,39.3900,39.7000,42.9300,44.9200,41.9000,41.3900,39.9900,39.9900,39.7700,39.9700,41.9600,44.5000,42.5400,42.8900,43.8600,43.4600,45.6100,45.2600,42.0500,39.7800,35.5000,36.6700,35.7400,37.7100,41.0300,39.2000,40.6500,35.8000,33.8600,29.8300,34.2600,39.4400,35.5200,36.2800,38.4000,46.3800,44.5300,49.6900,52.6100,49.1700,54.5800,56.7800,59.1600,57.7300,58.1900,56.1400,56.5400,56.9300,57.9600,60.0700,62.7300,63.7000,63.4000,63.4600,63.9600,64.1200,63.6900,63.0800,64.2500,64.0300,63.8800,63.9300,63.4300,62.0200,61.0500,61.8800,61.4500,61.4600,60.4400,60.7700,60.8400,60.9100,61.1000,61.0300,60.8000,60.3900,60.2800,60.6600,60.2400,60.5600,60.2000,60.6200,60.6900,60.9700,61.4800,61.2900,61.0400,60.9500,61.2800,60.5900,60.1100,60.6400,59.8200,,
CMCSA,34.9700,35.3500,36.1600,36.5350,35.5800,35.1400,36.0500,36.2150,36.9800,37.6300,39.0000,38.0800,38.2100,37.1600,36.0900,35.7300,35.7100,37.2100,38.0800,37.8300,37.1600,38.5200,37.1900,38.0000,37.6800,36.9400,36.2300,33.9500,34.3700,32.4200,34.3800,35.4900,34.5700,36.7400,33.5700,34.6400,34.1700,33.3700,35.9400,35.6800,38.2200,36.0400,39.3300,34.9400,37.9100,39.1000,37.8800,40.3700,40.7700,42.5000,41.4400,42.5200,40.4300,41.0500,42.2200,43.1700,44.6000,45.8200,46.0200,45.9700,46.1500,46.0900,46.0700,46.0200,44.7900,44.6600,44.7400,44.6000,44.5900,44.2800,42.6600,43.1900,44.1400,43.3200,44.0400,44.0000,44.5900,45.6500,47.4400,47.3000,47.5000,46.8700,46.2800,46.0300,45.8000,44.9800,45.5100,45.3900,44.9300,44.6700,45.0100,45.3700,44.9700,45.1800,45.1000,44.9700,44.5300,44.1000,44.0900,43.6400,,
CAT,104.4800,105.0000,108.6100,112.1100,107.2900,107.6700,108.9100,107.7200,110.8800,116.3800,120.0600,115.4600,115.2000,114.0400,112.9100,110.6400,109.8500,114.6000,116.3000,113.2200,111.5300,116.4800,114.1400,125.0300,127.4000,121.9200,120.4300,114.6700,116.7400,111.3500,116.0400,111.7100,105.4400,110.5000,104.6700,101.3400,91.8500,95.5000,103.0100,100.1200,100.2000,93.4100,99.6400,92.2600,100.6900,106.4900,104.0700,121.4100,121.9700,127.4000,124.3800,127.6000,124.2400,123.2700,128.2500,129.0000,132.1700,137.2100,136.9300,136.8600,136.5800,137.9900,139.7200,139.5900,136.1900,134.3200,133.3700,137.2500,137.4400,133.5100,129.7700,131.3500,135.3700,135.7800,136.7400,135.7300,140.3800,142.7500,142.6300,145.8500,147.7800,147.8700,145.5700,146.6800,146.8200,146.1300,147.3100,147.6800,146.3800,148.3400,148.4400,150.5300,147.6800,147.5200,148.2800,148.2200,147.4800,148.5000,147.5700,145.0200,,
CINF,48.5400,51.4500,53.8500,55.7300,55.0100,53.1200,59.0000,60.1450,60.9500,65.8000,70.4200,71.8100,82.0300,78.5300,78.4000,79.6900,80.1700,82.4800,85.8000,82.4700,82.9400,87.1000,82.6400,83.5800,81.0800,79.8800,77.4100,71.0300,72.9200,73.5700,75.4500,79.7400,75.9500,78.7200,74.2300,78.0200,66.7800,75.0300,81.9300,85.3700,84.9800,78.5200,90.5800,80.5600,90.0000,95.9900,90.7000,98.2100,101.1400,104.4300,99.7700,101.3600,93.2400,97.6600,103.1300,104.7200,107.4800,111.3200,112.1200,113.0200,113.8500,115.2100,114.8500,113.7400,114.9200,114.0800,112.8300,112.8400,108.0100,106.0400,106.3100,104.9500,106.8000,105.0400,105.3500,104.7500,106.0150,105.9800,107.1400,106.3300,107.3100,105.5300,105.4000,104.8600,105.0900,104.7000,104.9400,103.1000,103.6900,105.6800,106.5000,105.9600,105.1500,104.4400,103.9000,103.5500,103.2700,102.9850,104.1300,103.2900,,
ADS,37.0600,40.4700,43.0200,47.1800,45.5000,43.7100,45.3400,46.3400,46.3800,50.0700,54.9400,47.6000,41.3900,40.4000,40.3900,36.6800,35.9700,36.4900,37.8600,33.0000,34.5200,36.4100,35.8200,38.5800,40.7100,35.5700,31.1600,26.4900,28.2900,31.0400,33.6500,34.3000,36.4700,37.5500,38.5100,42.0100,31.0200,27.5500,25.3800,22.6100,30.8700,36.1100,49.5100,46.8200,57.2800,63.5600,63.0200,72.6100,74.2100,80.6900,79.6800,86.0700,85.8800,87.7000,90.9400,93.7500,98.7200,102.1600,103.0600,101.3600,100.5000,102.8300,103.4900,104.6300,103.6900,103.4400,105.9200,106.5000,106.8500,102.4000,100.5900,102.7900,107.1800,109.6900,107.3300,105.6500,107.4000,111.8000,111.6200,111.8500,112.9100,114.0300,113.1800,112.1500,112.4200,112.0700,110.7500,110.2100,110.2500,110.8800,110.3800,112.4800,112.2000,110.6900,110.9100,110.3300,110.9900,111.4700,111.2900,110.0800,,
ED,71.4600,71.5900,72.6400,74.1800,74.0700,74.3800,77.5400,77.0600,77.2500,78.8000,81.2800,83.1000,82.6700,82.6400,81.7800,84.1200,83.4900,85.4700,89.5600,88.4100,86.9700,89.3000,84.8400,87.9400,83.8300,79.9200,81.0500,77.9000,78.9300,77.6100,78.0000,80.7300,77.9000,75.9200,70.9300,70.5100,65.3500,72.5900,80.0900,92.2000,93.8800,79.5500,88.0700,83.7900,86.5000,89.4000,88.6600,87.9000,87.5800,88.0100,83.8400,84.5300,78.8200,83.1900,87.6900,88.2500,88.8900,90.1800,94.5800,93.8800,94.3500,94.3000,93.6400,92.8700,93.1800,93.0800,92.7800,93.4700,93.4000,92.5400,93.8500,94.0000,94.7400,94.4400,94.1800,93.4100,93.6100,92.7700,91.1600,90.8300,90.2400,89.1700,88.9600,87.7800,87.7900,87.4900,86.8800,86.9700,87.6700,88.3400,88.6300,88.8600,90.4700,90.1900,89.9400,89.6500,89.6700,89.7800,90.6300,89.7000,,
CMA,29.2300,30.4600,32.1800,33.8900,32.3700,31.3300,31.5700,32.1500,32.8300,34.8600,37.4800,35.2000,34.5100,32.1300,31.6000,30.4500,29.4300,29.6200,30.0000,26.0500,28.1200,30.8900,32.7800,34.7500,33.0200,30.6800,28.9900,27.3400,27.7900,27.1700,29.3400,31.0300,32.8700,33.9900,33.0700,30.5000,27.3400,28.9300,28.9500,27.4200,34.4000,31.4500,38.6700,34.9500,38.0300,40.2400,35.9900,44.8100,46.7200,50.3900,51.0000,55.0200,52.6400,53.2100,55.7400,56.7900,59.7800,62.4800,63.4300,62.9700,61.9600,62.7600,62.9700,62.7100,62.2300,61.3300,62.0600,63.2700,64.4400,62.9000,62.0000,61.1600,62.4800,61.9800,63.1500,62.7200,64.7300,65.9900,66.4000,66.3100,68.7200,68.2400,66.9800,68.9500,68.7500,68.4200,69.8300,69.6800,69.1700,69.6300,70.6600,71.7500,71.7500,71.4000,71.2400,71.8300,71.7900,71.6800,71.8100,71.5600,,
REGN,577.1200,557.5400,574.1100,563.4000,559.8300,553.5000,574.3700,541.8200,525.5000,525.8800,516.1500,528.6100,547.5200,566.2100,565.5200,558.0800,544.4600,567.9900,568.7900,539.9300,511.6900,524.8400,517.0200,512.9600,512.3300,501.5100,504.2700,493.3200,498.7500,496.6500,488.2900,473.0000,449.5200,452.3000,429.7800,449.5300,455.6300,438.4500,489.8300,485.0000,491.6900,440.8300,465.5500,431.8900,464.7000,475.0200,474.4400,494.4300,488.1700,493.4800,461.5500,464.7500,444.5700,431.6100,457.9200,442.3500,425.3800,403.1500,399.1400,400.8100,397.6500,399.5500,398.8100,406.3000,396.7500,386.2100,381.8700,389.8500,372.1600,356.0000,341.1200,337.9400,336.1800,339.2500,344.0800,339.4200,345.2800,356.6000,359.1400,363.7100,385.9400,385.5700,390.7500,387.6200,378.9300,381.4100,383.4700,382.4200,373.1300,371.7400,369.1600,373.3500,375.4800,373.7000,373.3200,374.8600,376.5100,374.2000,375.6200,372.5500,,
GOOGL,1348.3300,1375.1800,1403.5900,1384.3400,1369.2800,1345.4300,1349.0200,1322.9000,1317.3200,1346.7000,1342.1800,1232.5900,1270.8600,1276.6000,1271.1700,1258.4100,1212.1600,1261.1500,1279.0000,1257.4300,1257.3000,1265.2300,1210.4100,1206.5700,1207.0000,1182.5600,1183.1900,1092.7000,1117.0300,1102.1000,1161.9500,1146.3100,1110.2600,1162.9200,1101.6200,1130.0100,1054.1300,1068.2100,1111.6700,1091.1900,1118.0600,1073.0000,1214.2700,1111.5500,1210.9000,1275.1700,1215.7900,1295.7400,1314.7600,1381.6000,1337.7200,1386.3200,1339.2500,1314.9500,1390.4700,1386.3200,1419.8600,1483.4600,1516.9900,1524.8700,1519.4400,1518.7300,1513.3900,1518.6300,1510.0600,1508.6600,1479.1100,1475.9700,1446.0500,1445.4100,1482.6000,1432.7800,1454.2500,1456.7000,1450.5000,1431.7300,1466.1700,1484.6900,1484.1700,1482.2500,1479.5200,1450.1600,1439.2000,1430.5900,1440.0300,1428.9600,1419.7900,1405.0400,1395.1100,1397.8100,1361.5200,1368.6800,1339.3900,1339.7100,1354.6400,1362.4700,1344.4300,1350.6300,1351.2200,1356.4400,,
CSCO,41.9500,43.2200,43.3200,42.9900,41.3700,41.1500,41.4600,41.3500,40.9200,42.3800,43.3400,42.4900,43.0600,42.5200,41.6200,41.7600,40.5500,42.5400,42.4800,41.5000,41.5200,42.7800,41.2200,41.2000,41.7400,40.6400,41.4300,39.0600,39.8000,38.3300,39.3100,40.3200,38.8200,40.5800,37.6700,38.6000,34.6000,35.6000,37.7100,37.1200,35.5000,33.7100,37.6400,33.2000,37.0500,40.0800,37.9600,39.6800,39.5700,41.3900,40.0400,41.1700,39.9300,40.0400,42.1600,42.7400,44.0000,46.2950,46.8500,46.2900,46.5900,46.9700,47.3200,49.9300,49.1300,48.8700,47.9700,48.6900,48.4500,47.6200,46.5300,45.9700,47.2400,47.0500,47.7700,47.4700,48.8500,49.0000,49.0600,48.8000,49.0200,49.0500,48.0100,47.7900,47.9700,47.1300,47.3200,47.5200,47.4900,47.8000,47.6300,48.4200,47.9600,47.5900,47.7700,47.8500,47.7800,48.1000,47.4500,47.8800,,
INTC,57.7400,58.3900,60.1300,59.6700,59.1700,59.1800,58.7500,57.9900,57.4700,59.9800,61.8000,58.7500,59.4700,59.2600,59.0400,60.1000,56.3600,59.1800,60.3600,60.7900,58.8700,60.6600,58.7000,57.1400,58.9800,58.4000,58.4300,54.1300,54.3500,51.8800,54.1200,55.4900,52.3700,55.5400,51.2600,52.4000,49.5800,45.8300,45.9400,47.6100,50.0800,44.6100,54.4300,45.5400,51.6600,53.9800,50.8500,55.7700,56.9600,58.6800,55.9700,58.1800,55.5200,55.8300,59.6500,59.7300,61.7600,64.3400,65.4500,67.1100,66.1400,67.2700,67.4400,67.4600,67.4100,66.3900,66.0200,67.0900,67.3400,65.4600,64.4200,63.9300,66.4700,66.3300,67.3100,65.6900,68.4700,63.3200,62.7300,60.5500,59.6000,59.6600,58.9400,59.4300,59.5900,58.9400,59.3000,58.9700,58.9300,59.9300,60.1000,60.8400,59.8500,59.6200,60.0800,59.8200,59.4100,59.2300,58.9500,57.9600,,
FISV,98.8600,100.2700,101.7300,104.7800,107.3200,105.4900,103.8300,101.5400,100.2500,103.0600,104.7300,99.7800,99.1800,96.2900,94.6100,95.4000,91.7600,97.2400,100.6300,95.7300,93.6600,96.8500,96.9700,99.2200,98.3700,94.6200,95.8600,86.1900,88.7500,88.0100,94.9900,98.3300,93.9500,97.6900,91.2000,86.6500,77.0000,81.7700,84.4600,80.9500,90.8900,86.1800,103.4200,94.9200,102.4200,107.0300,100.0300,106.8100,109.2500,112.1800,109.3700,114.2300,109.3600,108.5400,112.8700,113.2500,116.5900,119.4900,121.8400,123.5500,122.2500,122.3200,121.0600,119.1400,120.7100,123.2100,121.8600,121.6700,121.6700,123.8900,121.9400,118.6100,121.2300,120.0400,120.4300,119.3000,120.8400,122.2300,122.0500,120.6100,120.6800,120.2100,118.5100,117.5500,118.5300,117.1300,117.8000,116.8000,116.4800,116.9300,116.3700,115.5200,115.6300,115.4700,117.0800,116.0300,116.6300,116.3300,116.6700,116.5000,,
SRE,118.2500,121.3900,124.8000,124.2300,123.7300,122.0200,124.2200,124.1200,119.9300,123.8500,129.5800,126.9600,128.8000,126.9700,125.5000,123.6600,119.2700,122.5700,124.4400,117.4600,121.5100,127.9300,126.9800,130.5300,122.0500,116.6700,114.0400,104.2800,106.2600,103.7100,112.9900,119.9900,121.1300,123.6000,114.0200,104.0300,93.4200,99.6400,100.0000,102.4000,98.3800,88.6200,106.9200,104.2700,122.9500,130.6000,127.7600,141.8700,141.7600,147.8400,141.0200,142.2300,139.7800,141.4200,146.8700,149.5700,154.1600,158.4300,159.8900,159.7300,160.8900,160.9600,159.0000,158.8900,158.5600,157.9800,158.5900,160.5000,159.0500,158.9700,161.0600,160.6400,161.1300,158.6800,159.8200,158.5400,159.7600,160.0600,157.5500,157.9600,157.2000,155.1800,154.1400,151.2200,151.1700,149.7600,148.8200,149.9000,148.8800,149.0000,147.7600,149.1200,151.4800,151.0500,150.8700,151.6200,150.6500,150.5600,151.3800,152.0300,,
