,,value,value,value,value,value,value,value,value,value,value,value
year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
state,month,,,,,,,,,,,
AL,1,12.3,11.0,8.3,8.2,7.6,6.4,6.3,6.0,4.3,4.2,3.2
AL,2,12.1,10.5,8.4,7.9,7.8,6.3,6.2,5.6,4.4,3.8,2.9
AL,3,11.5,9.9,7.9,7.1,7.3,5.9,5.9,4.9,4.0,3.4,3.3
AL,4,10.4,9.4,7.2,6.3,6.2,5.6,5.3,4.1,3.5,2.6,
AL,5,9.9,9.6,7.8,6.6,6.5,6.0,5.3,3.9,3.5,2.5,
AL,6,10.5,10.6,9.0,7.7,7.4,6.6,6.2,4.8,4.6,3.3,
AL,7,10.2,10.4,9.0,7.6,7.4,6.5,6.0,4.6,4.2,3.1,
AL,8,10.1,10.0,8.5,7.5,7.0,6.4,6.0,4.3,4.0,3.0,
AL,9,9.8,9.5,7.6,7.1,6.3,5.9,5.8,3.7,3.6,2.6,
AL,10,9.9,8.9,7.5,7.0,6.2,5.9,5.9,3.7,3.6,2.5,
AL,11,10.0,8.0,6.9,6.8,5.9,5.7,5.4,3.6,3.3,2.4,
AL,12,9.8,7.9,7.2,6.8,5.8,5.8,5.4,3.7,3.5,2.5,
AR,1,8.9,8.7,8.2,8.0,7.8,7.3,7.5,7.8,7.5,6.9,6.6
AR,2,9.1,8.8,8.3,8.0,8.0,7.4,7.7,7.9,7.6,7.0,5.9
AR,3,8.9,8.4,8.0,7.6,7.7,7.2,7.5,7.6,7.2,6.8,5.8
AR,4,8.3,7.9,7.5,7.2,7.2,6.7,7.0,7.2,6.8,6.3,
AR,5,7.8,7.4,7.1,7.0,6.9,6.4,6.8,6.9,6.5,6.0,
AR,6,7.8,7.6,7.2,7.1,7.0,6.5,6.9,6.9,6.5,6.3,
AR,7,7.0,6.8,6.5,6.3,6.3,5.8,6.2,6.3,5.8,5.6,
AR,8,6.8,6.6,6.1,5.9,6.0,5.5,6.0,6.1,5.5,5.3,
AR,9,7.0,6.7,6.3,6.2,6.2,5.8,6.3,6.3,5.7,5.5,
AR,10,7.3,7.0,6.4,6.6,6.2,6.2,6.5,6.4,5.8,5.7,
AR,11,7.7,7.4,6.9,7.0,6.6,6.6,6.9,6.8,6.2,6.1,
AR,12,8.0,7.8,7.2,7.0,6.6,6.8,7.1,7.0,6.3,6.1,
AZ,1,11.1,10.0,8.8,8.2,7.2,6.5,5.6,5.3,4.9,5.1,4.6
AZ,2,10.7,9.5,8.4,7.6,6.9,6.1,5.3,5.0,4.7,4.7,4.4
AZ,3,10.4,9.3,8.2,7.6,6.9,5.9,5.3,4.9,4.6,4.7,5.3
AZ,4,10.1,9.2,8.0,7.4,6.3,5.8,5.3,4.7,4.5,4.5,
AZ,5,10.0,9.0,8.3,7.6,6.7,6.0,5.2,4.7,4.4,4.6,
AZ,6,10.5,10.5,8.9,8.3,7.1,6.4,5.7,5.1,5.0,5.0,
AZ,7,10.8,10.4,9.2,8.2,7.3,6.5,5.8,5.1,5.0,5.1,
AZ,8,10.8,10.1,8.9,8.3,7.2,6.4,5.7,5.2,5.1,5.0,
AZ,9,10.4,9.7,8.2,8.0,6.9,6.2,5.6,4.9,4.8,4.6,
AZ,10,10.0,9.2,8.0,7.8,6.5,5.9,5.3,4.6,4.7,4.5,
AZ,11,10.0,8.6,7.6,7.2,6.3,5.6,4.9,4.5,4.5,4.3,
AZ,12,9.6,8.5,7.7,7.0,6.1,5.4,4.8,4.5,4.7,4.2,
CA,1,9.0,9.5,8.5,8.3,7.2,6.3,4.8,4.3,4.3,4.2,4.1
CA,2,9.0,9.2,8.3,8.0,7.1,6.0,4.7,4.2,4.3,4.1,3.9
CA,3,8.3,8.6,7.6,7.3,6.4,5.5,4.1,3.5,3.7,3.5,4.7
CA,4,7.8,8.1,7.1,6.9,5.6,5.0,3.6,3.2,3.3,3.0,
CA,5,8.0,8.3,7.5,7.3,5.9,5.2,3.8,3.5,3.5,3.4,
CA,6,8.1,8.6,7.8,7.7,6.2,5.4,4.3,3.9,3.9,3.8,
CA,7,8.4,8.7,8.0,7.7,6.4,5.4,4.4,4.2,4.0,4.1,
CA,8,8.1,8.1,7.5,7.1,5.9,4.8,4.0,3.9,3.6,3.6,
CA,9,7.9,7.9,7.2,6.9,5.6,4.4,3.7,3.5,3.4,3.3,
CA,10,7.6,7.5,7.0,6.6,5.2,4.1,3.4,3.2,3.2,3.1,
CA,11,7.9,7.4,7.0,6.5,5.3,4.0,3.3,3.3,3.1,3.1,
CA,12,8.2,7.8,7.4,6.7,5.5,4.2,3.6,3.6,3.5,3.4,
CO,1,12.7,12.6,11.4,10.2,8.4,7.2,5.9,5.6,4.7,4.8,4.3
CO,2,12.6,12.2,11.3,9.7,8.4,6.8,5.8,5.4,4.6,4.5,4.3
CO,3,12.6,12.1,11.0,9.3,8.2,6.6,5.8,5.1,4.5,4.5,5.6
CO,4,12.0,11.5,10.3,8.7,7.3,6.1,5.3,4.7,4.0,3.8,
CO,5,11.7,11.3,10.2,8.6,7.2,6.1,5.0,4.4,3.7,3.6,
CO,6,12.0,12.0,10.6,9.2,7.5,6.3,5.6,4.9,4.4,4.1,
CO,7,12.6,12.2,10.9,9.4,8.0,6.5,5.8,5.1,4.5,4.4,
CO,8,12.3,11.9,10.4,8.9,7.6,6.1,5.6,5.0,4.4,4.2,
CO,9,11.9,11.5,9.6,8.5,7.0,5.7,5.3,4.4,3.9,3.6,
CO,10,11.9,11.3,9.7,8.5,6.9,5.7,5.3,4.3,4.0,3.7,
CO,11,12.3,11.0,9.5,8.2,6.9,5.7,5.1,4.3,4.0,3.7,
CO,12,12.1,11.0,9.6,8.0,6.6,5.6,5.1,4.3,4.2,3.7,
DC,1,8.9,9.2,8.6,8.0,6.4,4.8,3.8,3.3,3.3,3.6,2.8
DC,2,8.9,9.1,8.7,7.9,6.3,4.6,3.7,3.1,3.3,3.3,2.9
DC,3,9.1,8.9,8.5,7.5,6.0,4.5,3.7,2.8,3.2,3.1,4.8
DC,4,8.5,8.4,8.0,7.1,5.4,4.0,3.5,2.6,3.0,2.8,
DC,5,8.5,8.4,7.9,7.0,5.0,4.0,3.2,2.5,2.8,2.6,
DC,6,8.9,8.3,8.3,7.3,5.0,4.1,3.6,2.9,3.4,2.9,
DC,7,8.8,8.1,7.8,6.8,4.8,3.8,3.3,2.8,3.2,2.7,
DC,8,8.6,8.1,7.7,6.4,4.5,3.5,3.1,2.8,3.2,2.6,
DC,9,8.4,7.9,7.2,6.2,4.1,3.3,3.0,2.7,3.1,2.4,
DC,10,8.4,7.8,7.2,6.2,4.1,3.3,2.9,2.7,3.1,2.4,
DC,11,8.9,8.0,7.3,6.0,4.2,3.4,2.7,2.8,3.1,2.4,
DC,12,8.8,8.1,7.3,5.9,4.1,3.4,2.7,2.8,3.2,2.4,
DE,1,9.5,9.8,8.7,8.7,7.6,6.7,6.1,5.6,5.2,4.6,4.4
DE,2,9.5,9.6,8.6,8.6,7.6,6.5,5.9,5.4,5.0,4.3,4.4
DE,3,9.2,9.3,8.5,8.2,7.2,6.1,5.6,5.0,4.6,4.0,3.9
DE,4,8.9,8.8,8.0,7.6,6.4,5.6,5.1,4.6,4.1,3.3,
DE,5,8.9,8.9,8.3,7.9,6.6,5.7,5.1,4.7,4.1,3.6,
DE,6,9.1,9.0,8.6,8.1,6.7,5.8,5.5,4.9,4.4,3.9,
DE,7,9.3,9.1,8.9,8.1,6.9,5.9,5.4,4.8,4.3,3.9,
DE,8,9.3,8.9,8.8,7.9,6.6,5.7,5.2,4.7,4.1,3.8,
DE,9,9.0,8.4,8.2,7.5,6.2,5.4,4.8,4.4,3.7,3.5,
DE,10,8.9,8.2,8.1,7.3,6.1,5.3,4.6,4.3,3.6,3.5,
DE,11,9.0,8.0,7.8,6.9,5.9,5.1,4.2,4.1,3.3,3.3,
DE,12,8.7,7.7,7.6,6.7,5.6,5.0,4.3,4.0,3.4,3.2,
FL,1,9.3,8.5,7.6,7.7,6.6,5.5,5.0,5.0,4.5,3.9,4.2
FL,2,9.4,8.3,7.6,7.6,6.5,5.4,4.9,5.0,4.4,3.8,4.0
FL,3,9.0,7.9,7.3,7.3,6.2,5.1,4.6,4.7,4.1,3.7,5.0
FL,4,8.5,7.5,7.1,6.9,5.8,4.8,4.4,4.5,3.8,3.5,
FL,5,8.1,7.1,6.8,6.5,5.6,4.6,4.2,4.3,3.5,3.4,
FL,6,8.6,7.7,7.4,7.1,6.1,5.2,4.8,4.9,4.1,4.1,
FL,7,8.4,7.6,7.4,6.8,6.0,5.1,4.7,4.8,4.0,4.1,
FL,8,8.3,7.5,7.4,6.6,5.8,5.0,4.7,4.7,3.9,4.1,
FL,9,8.1,7.3,7.2,6.3,5.5,4.7,4.5,4.3,3.6,3.9,
FL,10,8.0,7.2,7.1,6.1,5.2,4.6,4.4,4.2,3.4,3.8,
FL,11,7.7,6.7,6.7,5.7,4.7,4.2,4.0,3.8,3.0,3.5,
FL,12,7.6,6.7,6.8,5.7,4.6,4.2,4.1,3.8,3.1,3.5,
GA,1,10.2,9.9,10.1,9.1,8.2,7.7,6.6,6.2,5.9,6.2,5.1
GA,2,9.9,10.0,9.9,8.9,8.2,7.6,6.5,6.3,6.0,6.0,5.2
GA,3,9.5,10.0,9.4,8.5,7.9,7.1,6.1,6.0,5.7,5.6,5.9
GA,4,8.7,9.6,8.6,8.0,7.2,6.5,5.5,5.6,5.2,5.1,
