GeoFips,GeoName,LineCode,Description,2018
1000,Alabama,70,  Farm employment,42220
1000,Alabama,100,"      Forestry, fishing, and related activities",15895
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",10560
1000,Alabama,300,      Utilities,14176
1000,Alabama,400,      Construction,148326
1000,Alabama,500,      Manufacturing,277818
1000,Alabama,600,      Wholesale trade,80467
1000,Alabama,700,      Retail trade,283951
1000,Alabama,800,      Transportation and warehousing,92524
1000,Alabama,900,      Information,28091
1000,Alabama,1000,      Finance and insurance,113388
1000,Alabama,1100,      Real estate and rental and leasing,110086
1000,Alabama,1200,"      Professional, scientific, and technical services",154593
1000,Alabama,1300,      Management of companies and enterprises,18464
1000,Alabama,1400,      Administrative and support and waste management and remediation services,186008
1000,Alabama,1500,      Educational services,42602
1000,Alabama,1600,      Health care and social assistance,253353
1000,Alabama,1700,"      Arts, entertainment, and recreation",41751
1000,Alabama,1800,      Accommodation and food services,201350
1000,Alabama,1900,      Other services (except government and government enterprises),171427
1000,Alabama,2000,    Government and government enterprises,404467
2000,Alaska,70,  Farm employment,1579
2000,Alaska,100,"      Forestry, fishing, and related activities",10058
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",16586
2000,Alaska,300,      Utilities,2312
2000,Alaska,400,      Construction,23613
2000,Alaska,500,      Manufacturing,15628
2000,Alaska,600,      Wholesale trade,7198
2000,Alaska,700,      Retail trade,45302
2000,Alaska,800,      Transportation and warehousing,26952
2000,Alaska,900,      Information,6828
2000,Alaska,1000,      Finance and insurance,11342
2000,Alaska,1100,      Real estate and rental and leasing,17770
2000,Alaska,1200,"      Professional, scientific, and technical services",23287
2000,Alaska,1300,      Management of companies and enterprises,3486
2000,Alaska,1400,      Administrative and support and waste management and remediation services,16994
2000,Alaska,1500,      Educational services,6132
2000,Alaska,1600,      Health care and social assistance,53035
2000,Alaska,1700,"      Arts, entertainment, and recreation",11242
2000,Alaska,1800,      Accommodation and food services,36131
2000,Alaska,1900,      Other services (except government and government enterprises),20836
2000,Alaska,2000,    Government and government enterprises,102867
4000,Arizona,70,  Farm employment,31132
4000,Arizona,100,"      Forestry, fishing, and related activities",16224
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",22490
4000,Arizona,300,      Utilities,12754
4000,Arizona,400,      Construction,217751
4000,Arizona,500,      Manufacturing,185529
4000,Arizona,600,      Wholesale trade,107855
4000,Arizona,700,      Retail trade,397476
4000,Arizona,800,      Transportation and warehousing,180510
4000,Arizona,900,      Information,60266
4000,Arizona,1000,      Finance and insurance,250251
4000,Arizona,1100,      Real estate and rental and leasing,222657
4000,Arizona,1200,"      Professional, scientific, and technical services",249512
4000,Arizona,1300,      Management of companies and enterprises,37047
4000,Arizona,1400,      Administrative and support and waste management and remediation services,313964
4000,Arizona,1500,      Educational services,80180
4000,Arizona,1600,      Health care and social assistance,431457
4000,Arizona,1700,"      Arts, entertainment, and recreation",86860
4000,Arizona,1800,      Accommodation and food services,304499
4000,Arizona,1900,      Other services (except government and government enterprises),198364
4000,Arizona,2000,    Government and government enterprises,452359
5000,Arkansas,70,  Farm employment,52607
5000,Arkansas,100,"      Forestry, fishing, and related activities",14747
5000,Arkansas,200,"      Mining, quarrying, and oil and gas extraction",13034
5000,Arkansas,300,      Utilities,8065
5000,Arkansas,400,      Construction,90902
5000,Arkansas,500,      Manufacturing,167076
5000,Arkansas,600,      Wholesale trade,50605
5000,Arkansas,700,      Retail trade,171749
5000,Arkansas,800,      Transportation and warehousing,78413
5000,Arkansas,900,      Information,14607
5000,Arkansas,1000,      Finance and insurance,61972
5000,Arkansas,1100,      Real estate and rental and leasing,61662
5000,Arkansas,1200,"      Professional, scientific, and technical services",68848
5000,Arkansas,1300,      Management of companies and enterprises,36448
5000,Arkansas,1400,      Administrative and support and waste management and remediation services,95987
5000,Arkansas,1500,      Educational services,23358
5000,Arkansas,1600,      Health care and social assistance,195918
5000,Arkansas,1700,"      Arts, entertainment, and recreation",22769
5000,Arkansas,1800,      Accommodation and food services,116486
5000,Arkansas,1900,      Other services (except government and government enterprises),91264
5000,Arkansas,2000,    Government and government enterprises,226671
6000,California,70,  Farm employment,236500
6000,California,100,"      Forestry, fishing, and related activities",258427
6000,California,200,"      Mining, quarrying, and oil and gas extraction",48883
6000,California,300,      Utilities,59976
6000,California,400,      Construction,1205915
6000,California,500,      Manufacturing,1434262
6000,California,600,      Wholesale trade,797873
6000,California,700,      Retail trade,2090818
6000,California,800,      Transportation and warehousing,1262299
6000,California,900,      Information,626200
6000,California,1000,      Finance and insurance,1068051
6000,California,1100,      Real estate and rental and leasing,1222367
6000,California,1200,"      Professional, scientific, and technical services",2066023
6000,California,1300,      Management of companies and enterprises,281523
6000,California,1400,      Administrative and support and waste management and remediation services,1540370
6000,California,1500,      Educational services,544368
6000,California,1600,      Health care and social assistance,2720560
6000,California,1700,"      Arts, entertainment, and recreation",679974
6000,California,1800,      Accommodation and food services,1838127
6000,California,1900,      Other services (except government and government enterprises),1431417
6000,California,2000,    Government and government enterprises,2804262
8000,Colorado,70,  Farm employment,48316
8000,Colorado,100,"      Forestry, fishing, and related activities",14266
8000,Colorado,200,"      Mining, quarrying, and oil and gas extraction",57758
8000,Colorado,300,      Utilities,8795
8000,Colorado,400,      Construction,262525
8000,Colorado,500,      Manufacturing,167168
8000,Colorado,600,      Wholesale trade,116552
8000,Colorado,700,      Retail trade,342742
8000,Colorado,800,      Transportation and warehousing,155931
8000,Colorado,900,      Information,89905
8000,Colorado,1000,      Finance and insurance,218096
8000,Colorado,1100,      Real estate and rental and leasing,227735
8000,Colorado,1200,"      Professional, scientific, and technical services",351522
8000,Colorado,1300,      Management of companies and enterprises,47882
8000,Colorado,1400,      Administrative and support and waste management and remediation services,213071
8000,Colorado,1500,      Educational services,77669
8000,Colorado,1600,      Health care and social assistance,348888
8000,Colorado,1700,"      Arts, entertainment, and recreation",110504
8000,Colorado,1800,      Accommodation and food services,305673
8000,Colorado,1900,      Other services (except government and government enterprises),199094
8000,Colorado,2000,    Government and government enterprises,500062
9000,Connecticut,70,  Farm employment,9511
9000,Connecticut,100,"      Forestry, fishing, and related activities",2371
9000,Connecticut,200,"      Mining, quarrying, and oil and gas extraction",2722
9000,Connecticut,300,      Utilities,5717
9000,Connecticut,400,      Construction,115467
9000,Connecticut,500,      Manufacturing,170445
9000,Connecticut,600,      Wholesale trade,68667
9000,Connecticut,700,      Retail trade,218725
9000,Connecticut,800,      Transportation and warehousing,81108
9000,Connecticut,900,      Information,39458
9000,Connecticut,1000,      Finance and insurance,191822
9000,Connecticut,1100,      Real estate and rental and leasing,123339
9000,Connecticut,1200,"      Professional, scientific, and technical services",164474
9000,Connecticut,1300,      Management of companies and enterprises,37754
9000,Connecticut,1400,      Administrative and support and waste management and remediation services,123997
9000,Connecticut,1500,      Educational services,88055
9000,Connecticut,1600,      Health care and social assistance,308223
9000,Connecticut,1700,"      Arts, entertainment, and recreation",57403
9000,Connecticut,1800,      Accommodation and food services,144773
9000,Connecticut,1900,      Other services (except government and government enterprises),120732
9000,Connecticut,2000,    Government and government enterprises,252591
10000,Delaware,70,  Farm employment,3408
10000,Delaware,100,"      Forestry, fishing, and related activities",(D)
10000,Delaware,200,"      Mining, quarrying, and oil and gas extraction",(D)
10000,Delaware,300,      Utilities,2210
10000,Delaware,400,      Construction,32383
10000,Delaware,500,      Manufacturing,28714
10000,Delaware,600,      Wholesale trade,12147
10000,Delaware,700,      Retail trade,62791
10000,Delaware,800,      Transportation and warehousing,22712
10000,Delaware,900,      Information,5899
10000,Delaware,1000,      Finance and insurance,60177
10000,Delaware,1100,      Real estate and rental and leasing,29988
10000,Delaware,1200,"      Professional, scientific, and technical services",38866
10000,Delaware,1300,      Management of companies and enterprises,9726
10000,Delaware,1400,      Administrative and support and waste management and remediation services,36044
10000,Delaware,1500,      Educational services,9896
10000,Delaware,1600,      Health care and social assistance,77376
