,Population-2018,Population-2019,labor force 2018,labor force 2019,Employed 2018,Employed 2019,Unemployed 2018,Unemployed 2019,Unemployment rate 2018,Unemployed 2019,Error rate 2019
United States,257791,259175,162075,163539,155761,157538,6314,6001,3.9,3.7, 3.6 - 3.7
Northeast,45107,45135,28423,28594,27295,27523,1128,1071,4,3.7, 3.6 - 3.9
New England,12090,12132,8044,8095,7765,7844,279,251,3.5,3.1, 2.9 - 3.3
Connecticut,2882,2884,1901,1914,1822,1842,79,71,4.1,3.7, 3.2 - 4.3
Maine,1104,1110,696,693,673,672,23,21,3.2,3, 2.5 - 3.6
Massachusetts,5613,5635,3785,3817,3658,3707,127,111,3.4,2.9, 2.6 - 3.2
New Hampshire,1113,1121,763,774,743,754,20,20,2.6,2.5, 2.2 - 2.9
Rhode Island,861,864,555,556,532,536,22,20,4,3.6, 3.0 - 4.1
Vermont,517,518,345,342,336,334,9,8,2.5,2.4, 2.0 - 2.7
Middle Atlantic,33017,33003,20378,20499,19529,19679,849,821,4.2,4, 3.8 - 4.2
New Jersey,7062,7071,4433,4493,4251,4333,182,160,4.1,3.6, 3.1 - 4.0
New York,15692,15656,9522,9514,9128,9138,394,377,4.1,4, 3.7 - 4.3
Pennsylvania,10262,10277,6424,6492,6151,6208,273,284,4.2,4.4, 4.0 - 4.8
Midwest,53611,53780,34833,35000,33546,33734,1287,1266,3.7,3.6, 3.5 - 3.8
East North Central,37030,37112,23653,23679,22700,22766,953,912,4,3.9, 3.7 - 4.0
Illinois,10020,10001,6464,6447,6185,6191,279,256,4.3,4, 3.6 - 4.3
Indiana,5209,5246,3382,3387,3264,3275,118,112,3.5,3.3, 2.9 - 3.7
Michigan,7975,7993,4909,4937,4705,4736,203,201,4.1,4.1, 3.7 - 4.5
Ohio,9215,9239,5781,5802,5522,5564,259,239,4.5,4.1, 3.7 - 4.5
Wisconsin,4610,4633,3118,3105,3025,3001,94,104,3,3.3, 2.9 - 3.8
West North Central,16581,16668,11180,11321,10846,10968,334,353,3,3.1, 2.9 - 3.3
